ID;Nombre;Ingredientes;Cocinado;Tiempo;Calorias;Descripcion;Ingredientes;Categorias_App;Subcategorias_App
5C;Sandwich de col;(2 hojas) col o repollo, (0.5 ud) aguacate, (2 lonchas) queso, (1 ud) tomate, (1 lata) atún natural;Sartén;5;290;Escaldar las hojas de col 2 min para que ablanden. Rellenar con aguacate machacado, tomate, queso y atún. Cerrar como un burrito y pasar por la Sartén para sellar.;Aguacate, Atún, Col, Pollo, Queso, Tomate;Fruta, Lácteo, Proteína, Vegetal;Carnes Blancas, Crucíferas, Grasas, Hortalizas, Pescado Azul, Quesos
6C;Sandwich de pollo y yogur;(100g) pollo desmenuzado, (2 cdas) salsa yogur, (1 ud) tomate, (0.5 ud) cebolla, (2 hojas) col;Sartén;10;310;Cocinar el pollo a tiras. Rellenar las hojas de col con el pollo, verduras picadas y la salsa de yogur.;Cebolla, Col, Pollo, Tomate, Yogur;Lácteo, Proteína, Vegetal;Bulbos, Carnes Blancas, Crucíferas, Hortalizas, Yogures
7A;Salmón con frutos secos;(150g) salmón, (20g) nueces o pistachos, (1 cda) mostaza antigua, (100g) brócoli;Horno;15;420;Pintar el salmón con mostaza. Picar los frutos secos y pegarlos encima presionando. Hornear con el brócoli al lado durante 12-15 min a 180 grados.;Brócoli, Col, Nueces, Pistachos, Salmón;Grasas, Proteína, Vegetal;Crucíferas, Frutos Secos, Pescado Azul
8A;Bacalao al papillote;(150g) bacalao, (0.5 ud) calabacín, (5 uds) tomates cherry, (1 cda) AOVE;Horno;20;380;Poner el bacalao sobre papel de horno con verduras en láminas. Cerrar el papel herméticamente y hornear 15 min para que se cocine en su jugo.;AOVE, Bacalao, calabacín, Tomate;Grasas, Proteína, Vegetal;Aceites, Hortalizas, Pescado Blanco
7C;Tacos de lechuga;(3 hojas) lechuga, (150g) picada de pavo, (0.25 ud) cebolla, (30g) maíz;Sartén;12;290;"Saltear el pavo con la cebolla y especias. Usar las hojas de lechuga como ""taco"" y rellenar con la carne y el maíz.";Cebolla, Lechuga, Pavo;Proteína, Vegetal;Bulbos, Carnes Blancas, Hoja Verde
8C;Fajitas de pollo;(100g) pollo, (0.5 ud) pimiento, (2 hojas) lechuga, (20g) yogur griego;Sartén;15;310;Saltear tiras de pollo y pimiento. Servir sobre hojas de lechuga con un toque de yogur griego encima.;Lechuga, Pimiento, Pollo, Yogur;Lácteo, Proteína, Vegetal;Carnes Blancas, Hoja Verde, Hortalizas, Yogures
9A;Ensalada de quinoa;(60g) quinoa cocida, (100g) edamame, (0.5 ud) aguacate, (1 ud) zanahoria rallada, (1 cda) semillas de sésamo, (1 cda) AOVE;Hervido y ensamblaje;15;450;Lava y hierve la quinoa. Mezcla en un bol con el edamame, zanahoria rallada y aguacate en dados. Decora con sésamo y aliña con aceite y sal.;AOVE, Aguacate, Quinoa, Sésamo, Zanahoria;Carbohidrato, Fruta, Grasas, Vegetal;Aceites, Cereales, Grasas, Hortalizas, Semillas
10A;Ensalada de arroz integral;(60g) arroz integral, (1 lata) atún, (5 uds) tomates cherry, (10g) semillas calabaza, (1 cda) AOVE;Hervido;20;430;Lava muy bien el arroz integral para eliminar arsénico y hiérvelo. Mezcla con el atún escurrido, los cherrys por la mitad y las semillas de calabaza.;AOVE, Arroz, Atún, Calabaza, Tomate;Carbohidrato, Grasas, Proteína, Vegetal;Aceites, Cereales, Hortalizas, Pescado Azul
9C;Crema de calabaza y jengibre;(200g) calabaza, (0.5 ud) puerro, (1 trozo) jengibre fresco, (10g) pipas de calabaza;Olla y trituradora;25;180;Sofríe el puerro y la calabaza. Cubre con agua y añade jengibre. Cuece 20 min y tritura hasta que esté cremoso. Sirve con las pipas por encima.;Calabaza, Pipas, Puerro;Grasas, Vegetal;Bulbos, Hortalizas, Semillas
10C;Sopa de verduras y huevo;(200ml) caldo verduras, (1 ud) huevo, (50g) espinacas, (0.5 ud) zanahoria;Olla;15;210;Pon a hervir el caldo con la zanahoria picada. Cuando hierva, añade las espinacas y el huevo (puedes escalfarlo directamente dentro o picarlo si ya está cocido).;Caldo, Espinacas, Huevo, Zanahoria;Despensa, Proteína, Vegetal;Bases, Hoja Verde, Hortalizas, Huevos
11A;Lomo con manzana y cebolla;(150g) lomo de cerdo, (1 ud) manzana, (0.5 ud) cebolla, (1 cda) AOVE;Sartén;15;360;Corta la cebolla y la manzana en láminas. Saltéalas en la Sartén hasta que caramelicen. Añade el lomo a la plancha y sirve con la guarnición encima.;AOVE, Cebolla, Cerdo, Manzana;Fruta, Grasas, Proteína, Vegetal;Aceites, Bulbos, Carnes Rojas, Dulce
12A;Solomillo de pavo con piña;(150g) pavo, (2 rodajas) piña natural, (1 puñado) canónigos;Sartén;12;340;Haz el pavo a la plancha. En la misma Sartén, dora la piña un minuto por cada lado. Sirve el pavo con la piña y una base de canónigos.;Canónigos, Pavo, Piña;Fruta, Proteína, Vegetal;Carnes Blancas, Hoja Verde, Ãcida
11C;Tortilla de espinacas y queso;(2 uds) huevos, (100g) Espinacas, (30g) queso de cabra, (1 cda) AOVE;Sartén;10;280;Saltea brevemente las espinacas en la Sartén. Bate los huevos, mézclalos con las espinacas y el queso desmenuzado. Cuaja la tortilla por ambos lados.;AOVE, Espinacas, Huevo, Queso;Grasas, Lácteo, Proteína, Vegetal;Aceites, Hoja Verde, Huevos, Quesos
12C;Revuelto de setas y ajetes;(2 uds) huevos, (150g) setas variadas, (3 uds) ajetes tiernos, (1 cda) AOVE;Sartén;10;240;Pica los ajetes y saltéalos con las setas hasta que pierdan el agua. Añade los huevos y remueve suavemente hasta que cuajen pero queden jugosos.;AOVE, Huevo, Setas;Grasas, Proteína, Vegetal;Aceites, Huevos, Setas
13A;Salmón con espárragos;(150g) salmón, (100g) espárragos trigueros, (1 cda) semillas sésamo, (1 cda) AOVE;Sartén o Plancha;12;410;Cocina el salmón a la plancha por ambos lados. En la misma Sartén, saltea los espárragos con un poco de sal. Sirve con las semillas de sésamo espolvoreadas por encima.;AOVE, espárragos, Salmón, Sésamo;Grasas, Proteína, Vegetal;Aceites, Pescado Azul, Semillas, Tallos
14A;Atún a la plancha con judías;(150g) atún fresco, (100g) judías verdes, (0.5 ud) pimiento rojo, (1 cda) AOVE;Sartén;15;390;Cuece las judías verdes al vapor o en agua. Saltea el pimiento en tiras y el atún a la plancha (vuelta y vuelta para que no se seque). Mezcla todo con un chorrito de aceite.;AOVE, Atún, Pimiento;Grasas, Proteína, Vegetal;Aceites, Hortalizas, Pescado Azul
13C;Tortilla de calabacín y cebolla;(2 uds) huevos, (0.5 ud) calabacín, (0.25 ud) cebolla, (1 cda) AOVE;Sartén;15;260;Pica la cebolla y el calabacín finamente. Póchalos en la Sartén hasta que estén tiernos. Añade los huevos batidos y cuaja la tortilla por ambos lados.;AOVE, calabacín, Cebolla, Huevo;Grasas, Proteína, Vegetal;Aceites, Bulbos, Hortalizas, Huevos
14C;Huevos revueltos con champiñones;(2 uds) huevos, (100g) champiñones, (1 loncha) jamón serrano, (1 cda) AOVE;Sartén;10;230;Limpia y lamina los champiñones. Saltéalos con el jamón picado. Añade los huevos y remueve constantemente hasta que estén cuajados pero cremosos.;AOVE, Champiñones, Huevo, Piñones;Grasas, Proteína, Vegetal;Aceites, Frutos Secos, Huevos, Setas
15A;Pavo al curry con coliflor;(150g) pechuga de pavo, (150g) coliflor, (50ml) leche de coco, (1 cda) curry;Sartén y Picadora;20;320;Pica la coliflor hasta que parezca arroz y saltéala 5 min. Aparte, cocina el pavo a dados, añade el curry y la leche de coco. Deja reducir y sirve sobre la coliflor.;Col, Coliflor, Leche, Pavo;Despensa, Proteína, Vegetal;Carnes Blancas, Crucíferas, Líquidos
16A;Pollo salteado con brócoli;(150g) pollo, (150g) brócoli, (1 cda) salsa de soja sin azúcar, (10g) cacahuetes;Sartén;15;350;Corta el pollo en tiras y saltéalo. Añade el brócoli (previamente cocido al dente). Añade la soja y los cacahuetes picados al final para dar un toque crujiente.;Brócoli, Col, Pollo, Soja;Despensa, Proteína, Vegetal;Carnes Blancas, Crucíferas, Salsas
15C;Ensalada templada de queso de cabra;(1 rulo) queso de cabra, (1 puñado) nueces, (1 ud) manzana, (1 base) canónigos, (1 cda) AOVE;Plancha y ensamblaje;10;310;Pasa el queso de cabra por la plancha un minuto por lado. Coloca sobre la base de canónigos con la manzana en láminas y las nueces. Aliña con aceite.;AOVE, Canónigos, Manzana, Nueces, Queso;Fruta, Grasas, Lácteo, Vegetal;Aceites, Dulce, Frutos Secos, Hoja Verde, Quesos
16C;Ensalada de espinacas y fresas;(1 base) espinacas, (5 uds) fresas, (30g) queso feta, (10g) pipas girasol;Ensamblaje;5;270;Limpia las espinacas y corta las fresas. Mezcla en un bol con el queso feta desmenuzado y las pipas de girasol. Aliña con un poco de vinagre balsámico opcional.;Espinacas, Fresas, Pipas, Queso;Fruta, Grasas, Lácteo, Vegetal;Frutos Rojos, Hoja Verde, Quesos, Semillas
17A;Merluza al horno con patatas;(150g) merluza, (1 ud) patata, (0.5 ud) cebolla, (1 cda) AOVE, perejil;Horno;25;340;Corta la patata y la cebolla en rodajas finas. Hornea 10 min con aceite. Añade el lomo de merluza encima, salpimenta y hornea 10-12 min más hasta que el pescado esté en su punto.;AOVE, Cebolla, Merluza, Patata;Carbohidrato, Grasas, Proteína, Vegetal;Aceites, Bulbos, Pescado Blanco, Tubérculos
18A;Dorada a la espalda;(1 ud) dorada abierta, (1 diente) ajo, (1 guindilla) opcional, (1 cda) AOVE, (100g) ensalada;Sartén o Plancha;15;310;Cocina la dorada a la plancha empezando por el lado de la piel. En una Sartén pequeña, dora el ajo laminado con aceite y guindilla. Vierte el refrito sobre el pescado y sirve con ensalada.;AOVE, Ajo, Dorada;Grasas, Proteína, Vegetal;Aceites, Bulbos, Pescado Blanco
17C;Pimientos rellenos de bacalao;(3 uds) pimientos del piquillo, (100g) bacalao desmigado, (1 cda) queso crema light, (0.25 ud) cebolla;Sartén y Horno;20;270;Sofreír la cebolla con el bacalao. Mezclar con el queso crema para hacer una pasta. Rellenar los pimientos y hornear 5-10 min para calentar el conjunto.;Bacalao, Cebolla, Pimiento, Queso;Lácteo, Proteína, Vegetal;Bulbos, Hortalizas, Pescado Blanco, Quesos
18C;Revuelto de bacalao y pimientos;(2 uds) huevos, (100g) bacalao desmigado, (1 ud) pimiento verde, (1 cda) AOVE;Sartén;12;250;Saltear el pimiento verde picado. Añadir el bacalao y, finalmente, los huevos batidos. Cuajar suavemente sin que quede seco.;AOVE, Bacalao, Huevo, Pimiento;Grasas, Proteína, Vegetal;Aceites, Hortalizas, Huevos, Pescado Blanco
19A;Ternera con pimientos;(150g) filete de ternera, (1 ud) pimiento rojo, (1 ud) pimiento verde, (1 cda) sésamo;Sartén;15;380;Corta la ternera y los pimientos en tiras. Saltea a fuego fuerte con poco aceite. Al final, añade las semillas de sésamo para que se tuesten ligeramente.;Pimiento, Sésamo, Ternera;Grasas, Proteína, Vegetal;Carnes Rojas, Hortalizas, Semillas
20A;Hamburguesa de ternera;(150g) carne de ternera picada, (1 ud) tomate, (1 ud) cebolla a la plancha, (1 puñado) rúcula;Sartén;12;360;Forma la hamburguesa y hazla a la plancha. Sirve sin pan, acompañada de rodajas de tomate, cebolla a la plancha y una base de rúcula.;Cebolla, Rúcula, Ternera, Tomate;Proteína, Vegetal;Bulbos, Carnes Rojas, Hoja Verde, Hortalizas
19C;Crema de calabacín;(2 uds) Calabacín, (1 ud) puerro, (1 cda) queso crema o 2 quesitos, (1 cda) AOVE;Olla y Trituradora;20;190;Rehogar el puerro y el calabacín troceado. Cubrir con agua justa y cocer 15 min. Triturar con el queso hasta obtener una textura fina.;AOVE, Puerro, Queso;Grasas, Lácteo, Vegetal;Aceites, Bulbos, Quesos
20C;Gazpacho;(3 uds) tomates maduros, (0.5 ud) pepino, (0.25 ud) pimiento, (1 cda) AOVE, (1 ud) huevo duro;Trituradora;10;210;Triturar las verduras con el aceite hasta que quede muy fino. Servir bien frío con el huevo duro picado por encima como aporte proteico.;AOVE, Huevo, Pepino, Pimiento, Tomate;Grasas, Proteína, Vegetal;Aceites, Hortalizas, Huevos
21A;Lubina con verduras al horno;(1 ud) lubina abierta, (1 ud) zanahoria, (0.5 ud) berenjena, (1 cda) AOVE, (al gusto) tomillo;Horno;20;320;Corta las verduras en bastones y hornéalas 10 min. Coloca la lubina encima con la piel hacia abajo, añade especias y un chorrito de aceite. Hornea 8-10 min más.;AOVE, Berenjena, Lubina, Zanahoria;Grasas, Proteína, Vegetal;Aceites, Hortalizas, Pescado Blanco
22A;Trucha a la navarra;(1 ud) trucha, (2 lonchas) jamón serrano, (100g) judías verdes;Sartén o Horno;15;340;Introduce el jamón dentro de la trucha. Pásala por la plancha hasta que la piel esté crujiente. Sirve acompañada de las judías verdes cocidas al vapor.;Trucha;Proteína;Pescado Blanco
21C;Espaguetis de calabacín a la carbonara;(1 ud) calabacín grande, (1 ud) huevo, (30g) parmesano, (50g) lacón o jamón;Sartén;12;280;Haz tiras finas de calabacín (tipo espagueti). Saltéalas 2 min. Aparte, bate el huevo con el queso. Apaga el fuego, añade la mezcla al calabacín y remueve para que cuaje con el calor residual.;calabacín, Huevo;Proteína, Vegetal;Hortalizas, Huevos
22C;calabacín relleno de atún;(1 ud) calabacín, (2 latas) atún natural, (2 cdas) tomate natural, (20g) queso rallado;Microondas;15;260;Corta el calabacín por la mitad y vacía la pulpa. Mezcla la pulpa con el atún y el tomate. Rellena las mitades, añade el queso y cocina 10 min en el microondas.;Atún, calabacín, Queso, Tomate;Lácteo, Proteína, Vegetal;Hortalizas, Pescado Azul, Quesos
23A;Ensalada de garbanzos y bacalao;(100g) garbanzos cocidos, (100g) bacalao desmigado desalado, (0.5 ud) pimiento rojo, (1 ud) huevo duro, (1 cda) AOVE;Ensamblaje;10;390;Mezcla los garbanzos con el bacalao, el pimiento picado y el huevo duro. Aliña con aceite, vinagre y un toque de pimentón dulce.;AOVE, Bacalao, Garbanzos, Huevo, Pimiento;Grasas, Proteína, Vegetal;Aceites, Hortalizas, Huevos, Legumbres, Pescado Blanco
24A;Hummus con vegetales y pollo;(100g) hummus, (1 ud) zanahoria, (0.5 ud) pimiento, (100g) tiras de pollo;Ensamblaje;10;370;Sirve el hummus en un bol. Acompaña con tiras de zanahoria y pimiento crudo (crudités) y las tiras de pollo a la plancha para mojar en el hummus.;Pimiento, Pollo, Zanahoria;Proteína, Vegetal;Carnes Blancas, Hortalizas
23C;Tortilla de espárragos y gambas;(2 uds) huevos, (100g) espárragos trigueros, (60g) gambas peladas, (1 cda) AOVE;Sartén;12;240;Saltea los espárragos troceados y las gambas con un poco de ajo. Añade los huevos batidos y cuaja la tortilla al gusto.;AOVE, espárragos, Gambas, Huevo;Grasas, Proteína, Vegetal;Aceites, Huevos, Marisco, Tallos
24C;Revuelto de ajetes y gambas;(2 uds) huevos, (1 manojo) ajetes tiernos, (80g) gambas, (1 cda) AOVE;Sartén;10;220;Limpia y trocea los ajetes. Saltéalos con las gambas. Añade los huevos apenas batidos y remueve suavemente para que quede un revuelto jugoso.;AOVE, Gambas, Huevo;Grasas, Proteína;Aceites, Huevos, Marisco
25A;Pavo con verduras salteadas;(150g) pechuga de pavo, (0.5 ud) pimiento rojo, (0.5 ud) calabacín, (100g) brócoli, (1 cda) salsa soja sin azúcar;Sartén o Wok;15;310;Corta el pavo y las verduras en tiras finas. Saltea a fuego muy fuerte con poco aceite. Cuando estén al dente, añade la soja y saltea un minuto más.;Brócoli, calabacín, Col, Pavo, Pimiento, Soja;Despensa, Proteína, Vegetal;Carnes Blancas, Crucíferas, Hortalizas, Salsas
26A;Brochetas de pavo y piña;(150g) pavo, (2 rodajas) piña natural, (1 ud) pimiento verde, (1 cda) AOVE;Sartén o Parrilla;15;330;Corta el pavo, la piña y el pimiento en dados. Ensarta en palitos de brocheta alternando ingredientes. Haz a la plancha hasta que el pavo esté dorado.;AOVE, Pavo, Pimiento, Piña;Fruta, Grasas, Proteína, Vegetal;Aceites, Carnes Blancas, Hortalizas, Ãcida
25C;Crema de brócoli y almendras;(200g) brócoli, (1 ud) patata pequeña, (15g) almendras laminadas, (1 cda) queso crema;Olla y Trituradora;20;240;Cuece el brócoli y la patata. Tritura con el queso crema y un poco del agua de cocción. Sirve con las almendras tostadas por encima para dar textura.;Almendras, Brócoli, Col, Patata, Queso;Carbohidrato, Grasas, Lácteo, Vegetal;Crucíferas, Frutos Secos, Quesos, Tubérculos
26C;Sopa de picadillo;(250ml) caldo de pollo casero, (1 ud) huevo duro, (30g) jamón serrano, (un puñado) de fideos de calabacín;Olla;10;210;Calienta el caldo. Añade los fideos de calabacín (hechos con espiralizador) y cocina 2 min. Añade el huevo y el jamón picados antes de servir.;calabacín, Caldo, Huevo, Pollo;Despensa, Proteína, Vegetal;Bases, Carnes Blancas, Hortalizas, Huevos
27A;Berenjena rellena de carne;(1 ud) berenjena grande, (150g) carne picada de ternera o pavo, (3 cdas) tomate natural, (20g) queso rallado;Horno;30;380;Corta la berenjena por la mitad y hornea 15 min. Vacía la pulpa y saltéala con la carne y el tomate. Rellena las barcas, añade queso y gratina 10 min más.;Berenjena, Pavo, Queso, Ternera, Tomate;Lácteo, Proteína, Vegetal;Carnes Blancas, Carnes Rojas, Hortalizas, Quesos
28A;Pastel de berenjena;(1 ud) berenjena, (150g) carne picada, (1 ud) tomate, (30g) queso feta;Sartén u Horno;20;390;Haz láminas de berenjena a la plancha. Monta capas de berenjena, carne salteada y rodajas de tomate. Termina con queso feta desmenuzado y calienta hasta fundir.;Berenjena, Queso, Tomate;Lácteo, Vegetal;Hortalizas, Quesos
27C;Tortilla de bacalao;(2 uds) huevos, (100g) bacalao desmigado, (1 ud) cebolleta, (1 cda) AOVE;Sartén;12;260;Pocha la cebolleta picada. Añade el bacalao y saltea un minuto. Incorpora los huevos batidos y cuaja la tortilla, dejándola jugosa por dentro.;AOVE, Bacalao, Huevo;Grasas, Proteína;Aceites, Huevos, Pescado Blanco
28C;Revuelto de bacalao y espárragos;(2 uds) huevos, (80g) bacalao, (0.5 manojo) espárragos trigueros, (1 cda) AOVE;Sartén;10;240;Saltea los espárragos troceados con el bacalao. Añade los huevos y remueve lentamente para obtener un revuelto suave.;AOVE, Bacalao, espárragos, Huevo;Grasas, Proteína, Vegetal;Aceites, Huevos, Pescado Blanco, Tallos
29A;Ensalada de alubias blancas;(100g) alubias cocidas, (1 lata) atún, (0.5 ud) cebolla, (1 ud) pimiento verde, (1 cda) AOVE;Ensamblaje;10;380;Enjuaga las alubias. Pica la cebolla y el pimiento en cuadritos pequeños. Mezcla con el atún y aliña con aceite, sal y un chorrito de vinagre.;AOVE, Alubias, Atún, Cebolla, Pimiento;Grasas, Proteína, Vegetal;Aceites, Bulbos, Hortalizas, Legumbres, Pescado Azul
30A;Hummus de alubias con vegetales;(100g) alubias blancas, (1 cda) tahini, (0.5 ud) limón, (1 ud) zanahoria, (0.5 ud) pimiento;Trituradora;10;350;Tritura las alubias con el tahini, zumo de limón y un poco de agua hasta que esté cremoso. Sirve con bastones de zanahoria y pimiento para dipear.;Alubias, limón, Pimiento, Zanahoria;Fruta, Proteína, Vegetal;Cítrico, Hortalizas, Legumbres
29C;Huevos al plato con tomate;(2 uds) huevos, (100ml) tomate natural triturado, (50g) guisantes, (20g) jamón cocido;Sartén o Horno;15;290;Pon el tomate y los guisantes en una Sartén. Cuando burbujee, casca los huevos encima y tapa hasta que cuajen. Añade el jamón picado al final.;Huevo, Tomate;Proteína, Vegetal;Hortalizas, Huevos
30C;Huevos con tomate y especias;(2 uds) huevos, (1 ud) pimiento rojo, (100ml) tomate triturado, (1 cda) comino;Sartén;20;270;Sofreír el pimiento. Añadir tomate y comino. Hacer dos huecos en la salsa, añadir los huevos y tapar hasta que la clara esté blanca.;Huevo, Pimiento, Tomate;Proteína, Vegetal;Hortalizas, Huevos
31A;Merluza a la romana;(150g) merluza, (1 ud) huevo, (20g) harina de avena o almendra, (100g) ensalada;Sartén;15;330;Pasa el pescado por harina y luego por huevo batido. Haz a la plancha con muy poco aceite para que quede jugoso pero no aceitoso. Acompaña con ensalada fresca.;Huevo, Merluza;Proteína;Huevos, Pescado Blanco
32A;Pescado blanco con salsa verde;(150g) merluza o bacalao, (1 diente) ajo, (1 puñado) perejil, (50ml) caldo pescado;Sartén;15;310;Pica el ajo y el perejil. Saltéalos, añade el caldo y coloca el pescado. Cocina a fuego lento tapado hasta que el pescado esté listo.;Ajo, Bacalao, Caldo, Merluza;Despensa, Proteína, Vegetal;Bases, Bulbos, Pescado Blanco
31C;Tortilla de berenjena y queso;(2 uds) huevos, (0.5 ud) berenjena, (30g) queso mozzarella o cabra, (1 cda) AOVE;Sartén;15;270;Pica la berenjena y cocínala bien en la Sartén hasta que esté blanda. Añade los huevos batidos y el queso. Cuaja la tortilla de forma habitual.;AOVE, Berenjena, Huevo, Queso;Grasas, Lácteo, Proteína, Vegetal;Aceites, Hortalizas, Huevos, Quesos
32C;Revuelto de verduras;(2 uds) huevos, (100g) mezcla de verduras (calabacín, champis, espárragos), (1 cda) AOVE;Sartén;12;240;Saltea todas las verduras picadas hasta que estén tiernas. Añade los huevos y remueve para que quede un revuelto jugoso.;AOVE, calabacín, espárragos, Huevo;Grasas, Proteína, Vegetal;Aceites, Hortalizas, Huevos, Tallos
33A;Ensalada de espinacas y bacalao;(150g) bacalao desmigado, (1 ud) naranja, (1 puñado) espinacas, (5 uds) aceitunas negras, (1 cda) AOVE;Ensamblaje;10;320;Limpia las espinacas y ponlas de base. Añade el bacalao, la naranja en gajos y las aceitunas. Aliña con aceite y el propio jugo de la naranja.;AOVE, Aceitunas, Bacalao, Espinacas, Naranja;Fruta, Grasas, Proteína, Vegetal;Aceites, Cítrico, Frutos, Hoja Verde, Pescado Blanco
34A;Ensalada de ahumados;(100g) salmón ahumado o bacalao, (1 ud) tomate, (0.5 ud) aguacate, (1 puñado) alcaparras, (1 cda) AOVE;Ensamblaje;5;340;Corta el tomate y el aguacate. Añade el pescado ahumado en tiras y las alcaparras. Aliña con un poco de limón y aceite.;AOVE, Aguacate, Bacalao, Salmón, Tomate;Fruta, Grasas, Proteína, Vegetal;Aceites, Grasas, Hortalizas, Pescado Azul, Pescado Blanco
33C;Aguacates rellenos de huevo;(1 ud) aguacate grande, (2 uds) huevos pequeños, (20g) tacos de jamón, (al gusto) pimienta;Horno;15;310;Corta el aguacate por la mitad y quita el hueso. Agranda un poco el hueco y casca un huevo en cada mitad. Añade el jamón y hornea hasta que el huevo cuaje.;Aguacate, Huevo;Fruta, Proteína;Grasas, Huevos
34C;Huevo en nido de pimiento;(2 uds) huevos, (1 ud) pimiento rojo grande, (30g) queso feta, (1 cda) AOVE;Sartén o Horno;15;280;Corta dos aros anchos de pimiento. Ponlos en la Sartén, casca un huevo dentro de cada aro y cocina tapado. Espolvorea queso feta antes de servir.;AOVE, Huevo, Pimiento, Queso;Grasas, Lácteo, Proteína, Vegetal;Aceites, Hortalizas, Huevos, Quesos
35A;Solomillo de cerdo con puré de manzana;(150g) solomillo, (2 uds) manzanas, (1 pizca) canela, (100g) judías verdes;Olla y Sartén;25;360;Cuece las manzanas con un poco de agua y canela, luego tritúralas. Haz el solomillo a la plancha. Sirve la carne con el puré y las judías verdes al vapor.;Manzana;Fruta;Dulce
